window_s,horizon_s,temp_cap_c,experiment,positive,negative,total,max_retained_temperature_c,first_window_end_s,last_window_end_s
256,180,100,TS0330A,0,0,0,,,
256,180,100,TS0330B,0,0,0,,,
256,180,100,TS0330C,0,0,0,,,
256,180,100,TS0330D,0,0,0,,,
256,180,100,TS0330E,0,0,0,,,
256,180,100,TS0330F,0,0,0,,,
256,180,100,TS0330G,0,0,0,,,
256,180,100,TS0330H,0,0,0,,,
256,180,120,TS0330A,0,5,5,117.74289985052317,352.0,392.0
256,180,120,TS0330B,0,4,4,119.7132542547705,309.0,339.0
256,180,120,TS0330C,0,0,0,,,
256,180,120,TS0330D,0,0,0,,,
256,180,120,TS0330E,0,2,2,119.40400542087035,290.0,300.0
256,180,120,TS0330F,0,0,0,,,
256,180,120,TS0330G,0,0,0,,,
256,180,120,TS0330H,0,0,0,,,
256,180,150,TS0330A,0,27,27,148.64220758858576,352.0,612.0
256,180,150,TS0330B,0,28,28,149.5914457131798,309.0,579.0
256,180,150,TS0330C,0,19,19,148.5402944595118,285.0,465.0
256,180,150,TS0330D,0,18,18,149.4969132066336,289.0,459.0
256,180,150,TS0330E,3,22,25,149.09073064340242,290.0,530.0
256,180,150,TS0330F,0,19,19,148.35518195360714,306.0,486.0
256,180,150,TS0330G,0,17,17,150.0,278.0,438.0
256,180,150,TS0330H,2,17,19,149.05453861584755,293.0,473.0
256,300,80,TS0330A,0,0,0,,,
256,300,80,TS0330B,0,0,0,,,
256,300,80,TS0330C,0,0,0,,,
256,300,80,TS0330D,0,0,0,,,
256,300,80,TS0330E,0,0,0,,,
256,300,80,TS0330F,0,0,0,,,
256,300,80,TS0330G,0,0,0,,,
256,300,80,TS0330H,0,0,0,,,
256,300,100,TS0330A,0,0,0,,,
256,300,100,TS0330B,0,0,0,,,
256,300,100,TS0330C,0,0,0,,,
256,300,100,TS0330D,0,0,0,,,
256,300,100,TS0330E,0,0,0,,,
256,300,100,TS0330F,0,0,0,,,
256,300,100,TS0330G,0,0,0,,,
256,300,100,TS0330H,0,0,0,,,
256,300,120,TS0330A,0,5,5,117.74289985052317,352.0,392.0
256,300,120,TS0330B,0,4,4,119.7132542547705,309.0,339.0
256,300,120,TS0330C,0,0,0,,,
256,300,120,TS0330D,0,0,0,,,
256,300,120,TS0330E,0,2,2,119.40400542087035,290.0,300.0
256,300,120,TS0330F,0,0,0,,,
256,300,120,TS0330G,0,0,0,,,
256,300,120,TS0330H,0,0,0,,,
256,300,150,TS0330A,10,17,27,148.64220758858576,352.0,612.0
256,300,150,TS0330B,9,19,28,149.5914457131798,309.0,579.0
256,300,150,TS0330C,3,16,19,148.5402944595118,285.0,465.0
256,300,150,TS0330D,7,11,18,149.4969132066336,289.0,459.0
256,300,150,TS0330E,15,10,25,149.09073064340242,290.0,530.0
256,300,150,TS0330F,11,8,19,148.35518195360714,306.0,486.0
256,300,150,TS0330G,7,10,17,150.0,278.0,438.0
256,300,150,TS0330H,14,5,19,149.05453861584755,293.0,473.0
