heldout,representation,method,delta_auroc,delta_auprc,delta_f1,delta_balanced_accuracy
TS0330D,fusion_shape,classical,-0.020952380952380945,-0.03655266302325133,0.012820512820512775,0.01333333333333342
TS0330D,fusion_shape,racdiff,0.0,-0.012249886357029283,0.009898989898989852,0.01333333333333342
TS0330D,pressure_absolute,classical,0.053333333333333344,0.06445003195939103,-0.010196431249062832,-0.020000000000000018
TS0330D,pressure_absolute,racdiff,-0.07999999999999996,-0.17301669420807403,-0.12985455090718245,-0.020000000000000018
TS0330D,pressure_shape,classical,-0.18285714285714294,-0.13645701061438686,-0.06760683760683767,-0.03809523809523818
TS0330D,pressure_shape,racdiff,-0.18095238095238103,-0.21781978802682123,-0.05401697068363742,-0.030476190476190546
TS0330D,temperature,classical,0.0,0.0,-0.024756335282651087,-0.01333333333333342
TS0330D,temperature,racdiff,0.0,0.0,-0.015533673886076738,-0.00666666666666671
TS0330E,fusion_absolute,classical,0.0009057971014492239,0.001225490196078316,0.10789613142554322,0.019927536231884146
TS0330E,fusion_absolute,racdiff,0.0009057971014492239,0.001225490196078316,0.08761118482480701,-0.0018115942028985588
TS0330E,fusion_shape,classical,0.0009057971014493349,-0.005459279390200411,0.011237884922095431,0.01041666666666674
TS0330E,fusion_shape,racdiff,-0.0018115942028984477,-0.002350427350427342,0.004040404040404066,0.0031702898550725056
TS0330E,pressure_absolute,classical,-0.7056159420289856,-0.5270745838095467,-0.22475754219940264,-0.2264492753623189
TS0330E,pressure_absolute,racdiff,-0.49547101449275366,-0.38708857588601725,-0.1512281304346968,-0.22282608695652178
TS0330E,pressure_shape,classical,0.033514492753623226,0.051909198237131804,0.006958583838016397,0.029891304347826053
TS0330E,pressure_shape,racdiff,0.037137681159420344,0.051654417549491294,0.015795426008192004,-0.009057971014492683
TS0330E,temperature,classical,0.0,0.0,0.007586533902323445,0.007246376811594235
TS0330E,temperature,racdiff,0.0,0.0,-0.007586533902323445,-0.007246376811594124
TS0330F,fusion_absolute,classical,-0.005509641873278293,-0.00391719277168201,-0.26388888888888884,-0.09090909090909083
TS0330F,fusion_absolute,racdiff,-0.0013774104683196287,0.0006577644348543243,-0.12103174603174599,-0.045454545454545414
TS0330F,fusion_shape,classical,-0.03994490358126723,-0.030713633345212266,-0.05517981749865808,-0.045454545454545414
TS0330F,fusion_shape,racdiff,0.02892561983471076,0.04007359643723285,0.010446343779677125,0.007575757575757569
TS0330F,pressure_absolute,classical,-0.0881542699724518,-0.07823022216420139,-0.022590011614401884,0.0378787878787879
TS0330F,pressure_absolute,racdiff,-0.1446280991735538,-0.12191711904270097,-0.022590011614401884,0.0378787878787879
TS0330F,pressure_shape,classical,-0.20798898071625344,-0.14175426748843473,-0.037037037037037035,-0.09090909090909094
TS0330F,pressure_shape,racdiff,-0.07575757575757569,-0.05183646254574137,0.08088410991636796,-0.037878787878787956
TS0330F,temperature,classical,0.0,0.0,0.015873015873015817,0.015151515151515138
TS0330F,temperature,racdiff,0.0,0.0,0.015873015873015817,0.015151515151515138
TS0330G,fusion_absolute,classical,0.1071428571428571,0.051848876929522,0.06837987720340663,0.07936507936507936
TS0330G,fusion_absolute,racdiff,0.25396825396825395,0.21853125369254367,0.3118767185263349,0.2648809523809524
TS0330G,fusion_shape,classical,0.12698412698412698,0.060419919640254616,0.04620642515379353,0.037698412698412564
TS0330G,fusion_shape,racdiff,0.21626984126984128,0.19454028434443182,0.17218189895535446,0.12896825396825395
TS0330G,pressure_absolute,classical,-0.632936507936508,-0.7357817809326955,-0.15172896008136288,-0.20138888888888895
TS0330G,pressure_absolute,racdiff,-0.4861111111111112,-0.6898398637537726,-0.15172896008136288,-0.20138888888888895
TS0330G,pressure_shape,classical,0.04761904761904767,0.0026218806854058085,-0.046391910996373464,-0.030753968253968256
TS0330G,pressure_shape,racdiff,0.08333333333333337,0.025525194098449444,0.06106489296144468,0.0357142857142857
TS0330G,temperature,classical,0.18253968253968234,0.11955832186246895,0.12507122507122503,0.10218253968253965
TS0330G,temperature,racdiff,0.21031746031746035,0.17237217467632182,0.11290191290191298,0.12202380952380965
TS0330H,fusion_absolute,classical,0.004938271604938316,0.003917255011166243,-0.025542784163473886,-0.022222222222222254
TS0330H,fusion_absolute,racdiff,0.01851851851851849,0.01762925833101281,0.07346904278952948,0.11851851851851847
TS0330H,fusion_shape,classical,0.013580246913580285,0.012467696275745843,-0.2036199095022624,-0.10000000000000009
TS0330H,fusion_shape,racdiff,0.00864197530864197,-0.008474225463277252,-0.28091168091168084,-0.12222222222222223
TS0330H,pressure_absolute,classical,-0.5172839506172842,-0.5189215161882379,-0.2777777777777778,-0.11111111111111105
TS0330H,pressure_absolute,racdiff,-0.45185185185185195,-0.4558380462293067,0.13888888888888884,-0.11111111111111105
TS0330H,pressure_shape,classical,-0.18148148148148158,-0.09731741324393428,-0.08388204088001244,-0.09999999999999987
TS0330H,pressure_shape,racdiff,-0.12345679012345678,-0.07193453482265977,-0.04027556968733437,-0.06666666666666654
TS0330H,temperature,classical,0.0,0.0,0.0,0.0
TS0330H,temperature,racdiff,0.0,0.0,0.0,0.0
