heldout,method,representation,pair_count,auroc,auprc,f1,balanced_accuracy,aug_mean
TS0330B,real_only,pressure_shape,3,0.3396464646464646,0.1677523935608171,0.19088482074752092,0.4046717171717171,0.0
TS0330B,real_only,temperature,3,1.0,1.0,0.5947722435078756,0.8333333333333334,0.0
TS0330C,classical,fusion_absolute,3,1.0,1.0,0.4818865345181134,0.8333333333333334,53.0
TS0330C,classical,fusion_shape,3,0.9407407407407408,0.5753968253968255,0.35923141186299073,0.8166666666666668,53.0
TS0330C,classical,pressure_absolute,3,0.6148148148148148,0.18455942024569474,0.10317460317460314,0.5,53.0
TS0330C,classical,pressure_shape,3,0.6851851851851852,0.20597158832452944,0.202020202020202,0.6555555555555556,53.0
TS0330C,classical,temperature,3,1.0,1.0,0.35624355005159963,0.8166666666666668,53.0
TS0330C,racdiff,fusion_absolute,3,1.0,1.0,0.4768253968253968,0.8222222222222223,53.0
TS0330C,racdiff,fusion_shape,3,0.9814814814814815,0.8444444444444444,0.3444444444444444,0.8055555555555555,53.0
TS0330C,racdiff,pressure_absolute,3,0.5222222222222223,0.12231778570013863,0.13555555555555554,0.5611111111111111,53.0
TS0330C,racdiff,pressure_shape,3,0.5814814814814815,0.1578466268662347,0.1461988304093567,0.5166666666666666,53.0
TS0330C,racdiff,temperature,3,1.0,1.0,0.3509803921568628,0.811111111111111,53.0
TS0330C,real_only,fusion_absolute,3,1.0,1.0,0.45662337662337665,0.8000000000000002,0.0
TS0330C,real_only,fusion_shape,3,0.9370370370370371,0.5481481481481482,0.3302631578947368,0.7944444444444444,0.0
TS0330C,real_only,pressure_absolute,3,0.8962962962962964,0.5584656084656084,0.3474025974025974,0.7666666666666666,0.0
TS0330C,real_only,pressure_shape,3,0.6555555555555556,0.1630596255596255,0.20787545787545783,0.6222222222222222,0.0
TS0330C,real_only,temperature,3,1.0,1.0,0.34970760233918124,0.8111111111111112,0.0
TS0330D,classical,fusion_absolute,3,0.9580952380952382,0.9221938775510203,0.35784313725490197,0.6704761904761906,33.666666666666664
TS0330D,classical,fusion_shape,3,0.8647619047619047,0.7173464471258589,0.6017094017094017,0.8028571428571428,33.666666666666664
TS0330D,classical,pressure_absolute,3,0.6495238095238095,0.6328029275798622,0.38746438746438744,0.5476190476190476,33.666666666666664
TS0330D,classical,pressure_shape,3,0.4742857142857142,0.37392125869851744,0.29777777777777775,0.5476190476190476,33.666666666666664
TS0330D,classical,temperature,3,1.0,1.0,0.6707348080345792,0.86,33.666666666666664
TS0330D,racdiff,fusion_absolute,3,0.9314285714285715,0.8963718820861678,0.34259259259259256,0.6638095238095238,33.666666666666664
TS0330D,racdiff,fusion_shape,3,0.8857142857142857,0.741649223792081,0.5987878787878788,0.8028571428571428,33.666666666666664
TS0330D,racdiff,pressure_absolute,3,0.5161904761904762,0.39533620141239717,0.2678062678062678,0.5476190476190476,33.666666666666664
TS0330D,racdiff,pressure_shape,3,0.4761904761904761,0.2925584812860831,0.311367644700978,0.5552380952380952,33.666666666666664
TS0330D,racdiff,temperature,3,1.0,1.0,0.6799574694311535,0.8666666666666667,33.666666666666664
TS0330D,real_only,fusion_absolute,3,0.9123809523809524,0.8303310724363356,0.49673202614379086,0.7457142857142857,0.0
TS0330D,real_only,fusion_shape,3,0.8857142857142857,0.7538991101491103,0.5888888888888889,0.7895238095238094,0.0
TS0330D,real_only,pressure_absolute,3,0.5961904761904762,0.5683528956204712,0.39766081871345027,0.5676190476190476,0.0
TS0330D,real_only,pressure_shape,3,0.6571428571428571,0.5103782693129043,0.3653846153846154,0.5857142857142857,0.0
TS0330D,real_only,temperature,3,1.0,1.0,0.6954911433172303,0.8733333333333334,0.0
TS0330E,classical,fusion_absolute,3,1.0,1.0,0.6882882882882884,0.7807971014492754,17.666666666666668
TS0330E,classical,fusion_shape,3,0.9601449275362319,0.9478549314462628,0.8301967038809144,0.8568840579710145,17.666666666666668
TS0330E,classical,pressure_absolute,3,0.16938405797101444,0.2818471112786915,0.2772727272727273,0.4547101449275362,17.666666666666668
TS0330E,classical,pressure_shape,3,0.49094202898550726,0.6014964896709295,0.48139514806181466,0.5190217391304347,17.666666666666668
TS0330E,classical,temperature,3,1.0,1.0,0.8998088998088999,0.9202898550724637,17.666666666666668
