window_s,temp_cap_c,max_tau_s,experiment,n_windows,tau_min_s,tau_q25_s,tau_median_s,tau_q75_s,tau_max_s
120,100,1200,TS0330B,10,533.36,555.86,578.36,600.86,623.36
120,100,1200,TS0330C,6,543.94,556.44,568.94,581.44,593.94
120,100,1200,TS0330D,5,503.01,513.01,523.01,533.01,543.01
120,100,1200,TS0330E,8,456.79999999999995,474.29999999999995,491.79999999999995,509.29999999999995,526.8
120,100,1200,TS0330F,7,455.35,470.35,485.35,500.35,515.35
120,100,1200,TS0330G,6,481.33000000000004,493.83000000000004,506.33000000000004,518.83,531.33
120,100,1200,TS0330H,8,409.86,427.36,444.86,462.36,479.86
120,120,300,TS0330A,0,,,,,
120,120,300,TS0330B,0,,,,,
120,120,300,TS0330C,0,,,,,
120,120,300,TS0330D,0,,,,,
120,120,300,TS0330E,0,,,,,
120,120,300,TS0330F,0,,,,,
120,120,300,TS0330G,0,,,,,
120,120,300,TS0330H,0,,,,,
120,120,600,TS0330A,19,419.89,464.89,509.89,554.89,599.89
120,120,600,TS0330B,14,463.36,495.86,528.36,560.86,593.36
120,120,600,TS0330C,12,483.94000000000005,511.44000000000005,538.94,566.44,593.94
120,120,600,TS0330D,11,443.01,468.01,493.01,518.01,543.01
120,120,600,TS0330E,15,386.79999999999995,421.79999999999995,456.79999999999995,491.79999999999995,526.8
120,120,600,TS0330F,13,395.35,425.35,455.35,485.35,515.35
120,120,600,TS0330G,11,431.33000000000004,456.33000000000004,481.33000000000004,506.33000000000004,531.33
120,120,600,TS0330H,14,349.86,382.36,414.86,447.36,479.86
120,120,900,TS0330A,19,419.89,464.89,509.89,554.89,599.89
120,120,900,TS0330B,17,463.36,503.36,543.36,583.36,623.36
120,120,900,TS0330C,12,483.94000000000005,511.44000000000005,538.94,566.44,593.94
120,120,900,TS0330D,11,443.01,468.01,493.01,518.01,543.01
120,120,900,TS0330E,15,386.79999999999995,421.79999999999995,456.79999999999995,491.79999999999995,526.8
120,120,900,TS0330F,13,395.35,425.35,455.35,485.35,515.35
120,120,900,TS0330G,11,431.33000000000004,456.33000000000004,481.33000000000004,506.33000000000004,531.33
120,120,900,TS0330H,14,349.86,382.36,414.86,447.36,479.86
120,120,1200,TS0330A,19,419.89,464.89,509.89,554.89,599.89
120,120,1200,TS0330B,17,463.36,503.36,543.36,583.36,623.36
120,120,1200,TS0330C,12,483.94000000000005,511.44000000000005,538.94,566.44,593.94
120,120,1200,TS0330D,11,443.01,468.01,493.01,518.01,543.01
120,120,1200,TS0330E,15,386.79999999999995,421.79999999999995,456.79999999999995,491.79999999999995,526.8
120,120,1200,TS0330F,13,395.35,425.35,455.35,485.35,515.35
120,120,1200,TS0330G,11,431.33000000000004,456.33000000000004,481.33000000000004,506.33000000000004,531.33
120,120,1200,TS0330H,14,349.86,382.36,414.86,447.36,479.86
120,150,300,TS0330A,11,199.89,224.89,249.89,274.89,299.89
120,150,300,TS0330B,8,223.36,240.86,258.36,275.86,293.36
120,150,300,TS0330C,3,273.94000000000005,278.94000000000005,283.94000000000005,288.94000000000005,293.94000000000005
120,150,300,TS0330D,7,233.01,248.01,263.01,278.01,293.01
120,150,300,TS0330E,16,146.79999999999995,184.29999999999995,221.79999999999995,259.29999999999995,296.79999999999995
120,150,300,TS0330F,11,195.35000000000002,220.35000000000002,245.35000000000002,270.35,295.35
120,150,300,TS0330G,7,231.33000000000004,246.33000000000004,261.33000000000004,276.33000000000004,291.33000000000004
120,150,300,TS0330H,15,159.86,194.86,229.86,264.86,299.86
120,150,600,TS0330A,41,199.89,299.89,399.89,499.89,599.89
120,150,600,TS0330B,38,223.36,315.86,408.36,500.86,593.36
120,150,600,TS0330C,33,273.94000000000005,353.94000000000005,433.94000000000005,513.94,593.94
120,150,600,TS0330D,32,233.01,310.51,388.01,465.51,543.01
120,150,600,TS0330E,39,146.79999999999995,241.79999999999995,336.79999999999995,431.79999999999995,526.8
120,150,600,TS0330F,33,195.35000000000002,275.35,355.35,435.35,515.35
