k_real_train_experiments,representation,heldout,subset_count,auroc_mean_over_subsets,auroc_worst_subset,auprc_mean_over_subsets,auprc_worst_subset,f1_mean_over_subsets,balanced_acc_mean_over_subsets
4,pressure_shape,TS0330F,35,0.9049586776859504,0.6900826446280993,0.838295429393227,0.5099025974025974,0.6526632556763511,0.7487012987012986
4,pressure_shape,TS0330G,35,0.4113945578231292,0.09523809523809522,0.2230304924206399,0.14760442194965717,0.2969857164942889,0.48282312925170073
4,pressure_shape,TS0330H,35,0.8015873015873016,0.5555555555555556,0.7968035721655403,0.503742536559874,0.5303615599829519,0.6752380952380952
4,temperature,TS0330A,35,0.9978354978354977,0.9545454545454546,0.9911708349370686,0.7799828958919868,0.8256939356939357,0.9219047619047619
4,temperature,TS0330B,35,1.0,1.0,1.0,1.0,0.6139408105122391,0.8467532467532468
4,temperature,TS0330C,35,1.0,1.0,1.0,1.0,0.36260904361744695,0.8228571428571428
4,temperature,TS0330D,35,1.0,1.0,1.0,1.0,0.6915242652084757,0.8737142857142857
4,temperature,TS0330E,35,1.0,1.0,1.0,1.0,0.9219739263436743,0.9403726708074533
4,temperature,TS0330F,35,1.0,1.0,1.0,1.0,0.9379236912156167,0.9597402597402598
4,temperature,TS0330G,35,0.8146258503401361,0.7142857142857143,0.835346051726459,0.7751152073732719,0.6869146038982396,0.8171768707482993
4,temperature,TS0330H,35,0.9970370370370372,0.9777777777777779,0.9967302254235026,0.9757936507936508,0.7722646918299092,0.8152380952380952
7,fusion_absolute,TS0330A,1,1.0,1.0,1.0,1.0,0.0,0.5
7,fusion_absolute,TS0330B,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.8787878787878788
7,fusion_absolute,TS0330C,1,1.0,1.0,1.0,1.0,0.42857142857142855,0.8666666666666667
7,fusion_absolute,TS0330D,1,0.9885714285714285,0.9885714285714285,0.9617346938775511,0.9617346938775511,0.6086956521739131,0.8200000000000001
7,fusion_absolute,TS0330E,1,1.0,1.0,1.0,1.0,1.0,1.0
7,fusion_absolute,TS0330F,1,1.0,1.0,1.0,1.0,0.9166666666666666,0.9545454545454546
7,fusion_absolute,TS0330G,1,0.7142857142857143,0.7142857142857143,0.7751152073732719,0.7751152073732719,0.47619047619047616,0.6696428571428572
7,fusion_absolute,TS0330H,1,0.9851851851851852,0.9851851851851852,0.9844444444444445,0.9844444444444445,0.8461538461538461,0.8666666666666667
7,fusion_shape,TS0330A,1,0.9575757575757576,0.9575757575757576,0.8672484081574992,0.8672484081574992,0.7857142857142857,0.9
7,fusion_shape,TS0330B,1,1.0,1.0,1.0,1.0,0.6153846153846154,0.8484848484848485
7,fusion_shape,TS0330C,1,0.9666666666666667,0.9666666666666667,0.6388888888888888,0.6388888888888888,0.42857142857142855,0.8666666666666667
7,fusion_shape,TS0330D,1,0.9257142857142857,0.9257142857142857,0.7456305599162742,0.7456305599162742,0.5384615384615384,0.76
7,fusion_shape,TS0330E,1,1.0,1.0,1.0,1.0,1.0,1.0
7,fusion_shape,TS0330F,1,0.9834710743801652,0.9834710743801652,0.9686586141131596,0.9686586141131596,0.88,0.9318181818181819
7,fusion_shape,TS0330G,1,0.7142857142857143,0.7142857142857143,0.7751152073732719,0.7751152073732719,0.7692307692307693,0.8363095238095238
7,fusion_shape,TS0330H,1,1.0,1.0,1.0,1.0,0.8,0.8333333333333333
7,pressure_absolute,TS0330A,1,0.8606060606060606,0.8606060606060606,0.5853926774979407,0.5853926774979407,0.0,0.5
7,pressure_absolute,TS0330B,1,0.7462121212121212,0.7462121212121212,0.34979360916860913,0.34979360916860913,0.0,0.45454545454545453
7,pressure_absolute,TS0330C,1,0.9555555555555556,0.9555555555555556,0.8095238095238095,0.8095238095238095,0.42857142857142855,0.8666666666666667
7,pressure_absolute,TS0330D,1,0.8057142857142857,0.8057142857142857,0.7236842105263158,0.7236842105263158,0.45454545454545453,0.6571428571428571
7,pressure_absolute,TS0330E,1,0.9728260869565217,0.9728260869565217,0.9643274617539324,0.9643274617539324,0.7619047619047619,0.7826086956521738
7,pressure_absolute,TS0330F,1,0.9586776859504132,0.9586776859504132,0.9412878787878789,0.9412878787878789,0.6666666666666666,0.75
7,pressure_absolute,TS0330G,1,0.9523809523809523,0.9523809523809523,0.9081632653061225,0.9081632653061225,0.5833333333333334,0.7916666666666667
7,pressure_absolute,TS0330H,1,0.9666666666666667,0.9666666666666667,0.96510989010989,0.96510989010989,0.125,0.5333333333333333
7,pressure_shape,TS0330A,1,0.8181818181818181,0.8181818181818181,0.4878149553951693,0.4878149553951693,0.5945945945945946,0.75
7,pressure_shape,TS0330B,1,0.24621212121212116,0.24621212121212116,0.14237428344599196,0.14237428344599196,0.22857142857142856,0.4015151515151515
7,pressure_shape,TS0330C,1,0.7333333333333333,0.7333333333333333,0.21031746031746035,0.21031746031746035,0.25,0.7
