heldout,k_real_train_experiments,combo_id,train_experiments,representation,n_train_windows,n_test_windows,train_positive,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,2,15,TS0330E+TS0330F,temperature,72,41,27,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,2,15,TS0330E+TS0330F,pressure_absolute,72,41,27,11,0.9696969696969696,0.9436674436674436,0.6111111111111112,0.7666666666666666
TS0330A,2,15,TS0330E+TS0330F,pressure_shape,72,41,27,11,0.896969696969697,0.828848193966771,0.5945945945945946,0.75
TS0330A,2,15,TS0330E+TS0330F,fusion_absolute,72,41,27,11,1.0,1.0,0.9523809523809523,0.9545454545454546
TS0330A,2,15,TS0330E+TS0330F,fusion_shape,72,41,27,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,2,16,TS0330E+TS0330G,temperature,70,41,23,11,1.0,1.0,0.7857142857142857,0.9
TS0330A,2,16,TS0330E+TS0330G,pressure_absolute,70,41,23,11,0.5272727272727273,0.2739634134251359,0.0,0.35
TS0330A,2,16,TS0330E+TS0330G,pressure_shape,70,41,23,11,0.8363636363636364,0.7206248344019243,0.6060606060606061,0.7545454545454545
TS0330A,2,16,TS0330E+TS0330G,fusion_absolute,70,41,23,11,1.0,1.0,0.6875,0.8333333333333333
TS0330A,2,16,TS0330E+TS0330G,fusion_shape,70,41,23,11,1.0,1.0,0.7857142857142857,0.9
TS0330A,2,17,TS0330E+TS0330H,temperature,72,41,31,11,1.0,1.0,0.7586206896551724,0.8833333333333333
TS0330A,2,17,TS0330E+TS0330H,pressure_absolute,72,41,31,11,0.9878787878787879,0.9757575757575757,0.0,0.5
TS0330A,2,17,TS0330E+TS0330H,pressure_shape,72,41,31,11,0.8666666666666666,0.7364710999667375,0.6875,0.8333333333333333
TS0330A,2,17,TS0330E+TS0330H,fusion_absolute,72,41,31,11,1.0,1.0,0.7058823529411765,0.7727272727272727
TS0330A,2,17,TS0330E+TS0330H,fusion_shape,72,41,31,11,1.0,1.0,0.9565217391304348,0.9833333333333334
TS0330A,2,18,TS0330F+TS0330G,temperature,64,41,18,11,1.0,1.0,0.7333333333333333,0.8666666666666667
TS0330A,2,18,TS0330F+TS0330G,pressure_absolute,64,41,18,11,0.9242424242424243,0.8495418582105888,0.5238095238095238,0.6666666666666666
TS0330A,2,18,TS0330F+TS0330G,pressure_shape,64,41,18,11,0.6151515151515151,0.3280590033478295,0.5365853658536586,0.6833333333333333
TS0330A,2,18,TS0330F+TS0330G,fusion_absolute,64,41,18,11,1.0,1.0,0.4230769230769231,0.5
TS0330A,2,18,TS0330F+TS0330G,fusion_shape,64,41,18,11,0.8515151515151516,0.6404911940797108,0.6666666666666666,0.8166666666666667
TS0330A,2,19,TS0330F+TS0330H,temperature,66,41,26,11,1.0,1.0,0.7333333333333333,0.8666666666666667
TS0330A,2,19,TS0330F+TS0330H,pressure_absolute,66,41,26,11,0.9454545454545454,0.8924825174825175,0.0,0.5
TS0330A,2,19,TS0330F+TS0330H,pressure_shape,66,41,26,11,0.8848484848484848,0.7641955266955268,0.5789473684210527,0.7333333333333334
TS0330A,2,19,TS0330F+TS0330H,fusion_absolute,66,41,26,11,1.0,1.0,0.0,0.5
TS0330A,2,19,TS0330F+TS0330H,fusion_shape,66,41,26,11,1.0,1.0,0.7857142857142857,0.9
TS0330A,2,20,TS0330G+TS0330H,temperature,64,41,22,11,1.0,1.0,0.7333333333333333,0.8666666666666667
TS0330A,2,20,TS0330G+TS0330H,pressure_absolute,64,41,22,11,0.26666666666666666,0.19916072744648888,0.4230769230769231,0.5
TS0330A,2,20,TS0330G+TS0330H,pressure_shape,64,41,22,11,0.7181818181818181,0.3910047864593319,0.5,0.6515151515151515
TS0330A,2,20,TS0330G+TS0330H,fusion_absolute,64,41,22,11,0.6575757575757576,0.3389129440632151,0.0,0.5
TS0330A,2,20,TS0330G+TS0330H,fusion_shape,64,41,22,11,0.8060606060606061,0.6033130194226451,0.6470588235294118,0.8
TS0330A,4,0,TS0330B+TS0330C+TS0330D+TS0330E,temperature,145,41,34,11,0.996969696969697,0.9924242424242425,0.88,0.95
TS0330A,4,0,TS0330B+TS0330C+TS0330D+TS0330E,pressure_absolute,145,41,34,11,0.9272727272727272,0.8255147630147631,0.6666666666666666,0.7803030303030303
TS0330A,4,0,TS0330B+TS0330C+TS0330D+TS0330E,pressure_shape,145,41,34,11,0.7818181818181817,0.450068109018292,0.6111111111111112,0.7666666666666666
TS0330A,4,0,TS0330B+TS0330C+TS0330D+TS0330E,fusion_absolute,145,41,34,11,1.0,1.0,0.9,0.9090909090909092
TS0330A,4,0,TS0330B+TS0330C+TS0330D+TS0330E,fusion_shape,145,41,34,11,0.9757575757575758,0.9190554395099849,0.8148148148148148,0.9166666666666667
TS0330A,4,1,TS0330B+TS0330C+TS0330D+TS0330F,temperature,139,41,29,11,1.0,1.0,0.88,0.95
TS0330A,4,1,TS0330B+TS0330C+TS0330D+TS0330F,pressure_absolute,139,41,29,11,0.7151515151515151,0.3983877374462795,0.5454545454545454,0.6893939393939394
TS0330A,4,1,TS0330B+TS0330C+TS0330D+TS0330F,pressure_shape,139,41,29,11,0.6484848484848484,0.34799138803841,0.4,0.5772727272727273
TS0330A,4,1,TS0330B+TS0330C+TS0330D+TS0330F,fusion_absolute,139,41,29,11,1.0,1.0,0.8421052631578947,0.8636363636363636
TS0330A,4,1,TS0330B+TS0330C+TS0330D+TS0330F,fusion_shape,139,41,29,11,0.8515151515151514,0.542371769644497,0.7586206896551724,0.8833333333333333
TS0330A,4,2,TS0330B+TS0330C+TS0330D+TS0330G,temperature,137,41,25,11,1.0,1.0,0.9166666666666666,0.9666666666666667
TS0330A,4,2,TS0330B+TS0330C+TS0330D+TS0330G,pressure_absolute,137,41,25,11,0.812121212121212,0.4882706076485981,0.6086956521739131,0.7348484848484849
TS0330A,4,2,TS0330B+TS0330C+TS0330D+TS0330G,pressure_shape,137,41,25,11,0.6757575757575758,0.37387327587681957,0.4375,0.5848484848484848
TS0330A,4,2,TS0330B+TS0330C+TS0330D+TS0330G,fusion_absolute,137,41,25,11,0.990909090909091,0.975068870523416,0.8421052631578947,0.8636363636363636
TS0330A,4,2,TS0330B+TS0330C+TS0330D+TS0330G,fusion_shape,137,41,25,11,0.9757575757575757,0.9072838777384232,0.8148148148148148,0.9166666666666667
TS0330A,4,3,TS0330B+TS0330C+TS0330D+TS0330H,temperature,139,41,33,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,4,3,TS0330B+TS0330C+TS0330D+TS0330H,pressure_absolute,139,41,33,11,0.6757575757575758,0.3766981516649597,0.0,0.5
TS0330A,4,3,TS0330B+TS0330C+TS0330D+TS0330H,pressure_shape,139,41,33,11,0.6787878787878787,0.3723115616977509,0.43478260869565216,0.6106060606060606
TS0330A,4,3,TS0330B+TS0330C+TS0330D+TS0330H,fusion_absolute,139,41,33,11,1.0,1.0,0.7058823529411765,0.7727272727272727
TS0330A,4,3,TS0330B+TS0330C+TS0330D+TS0330H,fusion_shape,139,41,33,11,0.8636363636363636,0.5789730768340393,0.7857142857142857,0.9
TS0330A,4,4,TS0330B+TS0330C+TS0330E+TS0330F,temperature,146,41,38,11,1.0,1.0,0.88,0.95
TS0330A,4,4,TS0330B+TS0330C+TS0330E+TS0330F,pressure_absolute,146,41,38,11,0.9424242424242425,0.880350487302359,0.6666666666666666,0.7803030303030303
TS0330A,4,4,TS0330B+TS0330C+TS0330E+TS0330F,pressure_shape,146,41,38,11,0.7727272727272727,0.4346993689355931,0.6285714285714286,0.7833333333333333
TS0330A,4,4,TS0330B+TS0330C+TS0330E+TS0330F,fusion_absolute,146,41,38,11,1.0,1.0,0.8421052631578947,0.8636363636363636
TS0330A,4,4,TS0330B+TS0330C+TS0330E+TS0330F,fusion_shape,146,41,38,11,0.9484848484848485,0.7614042523133432,0.7586206896551724,0.8833333333333333
TS0330A,4,5,TS0330B+TS0330C+TS0330E+TS0330G,temperature,144,41,34,11,0.9848484848484849,0.9536042240587695,0.8148148148148148,0.9166666666666667
TS0330A,4,5,TS0330B+TS0330C+TS0330E+TS0330G,pressure_absolute,144,41,34,11,0.8212121212121213,0.5452814908767625,0.35294117647058826,0.5863636363636364
TS0330A,4,5,TS0330B+TS0330C+TS0330E+TS0330G,pressure_shape,144,41,34,11,0.9363636363636365,0.8634772090654443,0.6111111111111112,0.7666666666666666
TS0330A,4,5,TS0330B+TS0330C+TS0330E+TS0330G,fusion_absolute,144,41,34,11,0.990909090909091,0.975068870523416,0.7777777777777778,0.8181818181818181
TS0330A,4,5,TS0330B+TS0330C+TS0330E+TS0330G,fusion_shape,144,41,34,11,0.996969696969697,0.9924242424242425,0.8461538461538461,0.9333333333333333
TS0330A,4,6,TS0330B+TS0330C+TS0330E+TS0330H,temperature,146,41,42,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,4,6,TS0330B+TS0330C+TS0330E+TS0330H,pressure_absolute,146,41,42,11,0.8636363636363635,0.7061802232854865,0.0,0.5
TS0330A,4,6,TS0330B+TS0330C+TS0330E+TS0330H,pressure_shape,146,41,42,11,0.8545454545454546,0.5467465615192888,0.6470588235294118,0.8
TS0330A,4,6,TS0330B+TS0330C+TS0330E+TS0330H,fusion_absolute,146,41,42,11,1.0,1.0,0.7777777777777778,0.8181818181818181
TS0330A,4,6,TS0330B+TS0330C+TS0330E+TS0330H,fusion_shape,146,41,42,11,0.9303030303030303,0.7900501014137378,0.8148148148148148,0.9166666666666667
TS0330A,4,7,TS0330B+TS0330C+TS0330F+TS0330G,temperature,138,41,29,11,1.0,1.0,0.88,0.95
TS0330A,4,7,TS0330B+TS0330C+TS0330F+TS0330G,pressure_absolute,138,41,29,11,0.8393939393939394,0.6006493506493507,0.5454545454545454,0.6893939393939394
TS0330A,4,7,TS0330B+TS0330C+TS0330F+TS0330G,pressure_shape,138,41,29,11,0.5606060606060606,0.30926821755095,0.375,0.5227272727272727
TS0330A,4,7,TS0330B+TS0330C+TS0330F+TS0330G,fusion_absolute,138,41,29,11,0.996969696969697,0.9924242424242425,0.7777777777777778,0.8181818181818181
TS0330A,4,7,TS0330B+TS0330C+TS0330F+TS0330G,fusion_shape,138,41,29,11,0.893939393939394,0.634463041414913,0.7096774193548387,0.85
TS0330A,4,8,TS0330B+TS0330C+TS0330F+TS0330H,temperature,140,41,37,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,4,8,TS0330B+TS0330C+TS0330F+TS0330H,pressure_absolute,140,41,37,11,0.6000000000000001,0.3133272133986483,0.0,0.5
TS0330A,4,8,TS0330B+TS0330C+TS0330F+TS0330H,pressure_shape,140,41,37,11,0.5969696969696969,0.3259812457657285,0.34782608695652173,0.5484848484848485
TS0330A,4,8,TS0330B+TS0330C+TS0330F+TS0330H,fusion_absolute,140,41,37,11,1.0,1.0,0.7058823529411765,0.7727272727272727
TS0330A,4,8,TS0330B+TS0330C+TS0330F+TS0330H,fusion_shape,140,41,37,11,0.8060606060606061,0.47190951580551915,0.56,0.7015151515151515
TS0330A,4,9,TS0330B+TS0330C+TS0330G+TS0330H,temperature,138,41,33,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,4,9,TS0330B+TS0330C+TS0330G+TS0330H,pressure_absolute,138,41,33,11,0.4121212121212121,0.23548092678847155,0.0,0.5
TS0330A,4,9,TS0330B+TS0330C+TS0330G+TS0330H,pressure_shape,138,41,33,11,0.6787878787878788,0.4905494337312519,0.34782608695652173,0.5484848484848485
TS0330A,4,9,TS0330B+TS0330C+TS0330G+TS0330H,fusion_absolute,138,41,33,11,0.8393939393939394,0.6109082836355564,0.0,0.5
TS0330A,4,9,TS0330B+TS0330C+TS0330G+TS0330H,fusion_shape,138,41,33,11,0.9,0.710849630167812,0.7586206896551724,0.8833333333333333
