heldout,model,representation,n_train,n_test,mae_s,rmse_s,medae_s,r2,bias_s
TS0330B,rf,temperature,242,38,53.74479037551218,57.1429495544319,57.26330104991861,0.7284559930328193,-51.454930366659454
TS0330B,rf,pressure_absolute,242,38,164.94217269669758,187.80015330527763,169.61153535122952,-1.9329644558408123,-12.747355432592046
TS0330B,rf,pressure_shape,242,38,87.37546242521958,111.53334418387333,82.47255308827826,-0.034485394165351346,-39.64931067424423
TS0330B,rf,fusion_absolute,242,38,29.666641059592543,36.02273969653554,22.53709640056465,0.8920883346990139,-24.023762248169795
TS0330B,rf,fusion_shape,242,38,43.58856362771956,49.6408174531698,45.64949264683807,0.7950760284890704,-42.10780743382479
TS0330C,huber,temperature,247,33,70.519682165123,71.49377390582794,69.81602296678614,0.4362470911068774,-70.519682165123
TS0330C,huber,pressure_absolute,247,33,59.114842367301264,75.64110562089807,44.6450612313846,0.368943728725898,-48.15106731437116
TS0330C,huber,pressure_shape,247,33,84.98163508884262,99.01592248953256,81.17885513172934,-0.08134039409409399,-65.66200771728828
TS0330C,huber,fusion_absolute,247,33,56.20242442294162,58.03016031674902,58.17491913086144,0.6285846132660744,-56.20242442294162
TS0330C,huber,fusion_shape,247,33,62.18569019808818,66.1407555338591,65.04092054803652,0.5175074033908403,-61.69483250662906
TS0330C,rf,temperature,247,33,67.3430804880051,68.52375323422237,68.21404847445785,0.4821134458855221,-67.3430804880051
TS0330C,rf,pressure_absolute,247,33,77.71498583578608,91.49692645998647,72.87108936478865,0.07665210827674573,-55.88955345369693
TS0330C,rf,pressure_shape,247,33,68.45252942295417,87.33505401082729,46.923117336410996,0.1587413611315308,-50.3042778522073
TS0330C,rf,fusion_absolute,247,33,44.87197167720029,45.92944253964609,46.392864364749016,0.767333048676178,-44.87197167720029
TS0330C,rf,fusion_shape,247,33,56.69393329325415,58.48251213406971,56.253651935268664,0.6227715927744547,-56.69393329325415
TS0330D,huber,temperature,248,32,23.842153119067465,29.15588565723671,23.5822469605271,0.9002855520870544,-23.362593395834754
TS0330D,huber,pressure_absolute,248,32,48.5414370049199,58.47933468475132,46.26172514543222,0.5988466175752306,-32.33689655887125
TS0330D,huber,pressure_shape,248,32,38.21021743401943,47.7864758931393,30.777066199395136,0.732135216623392,3.2253172573327156
TS0330D,huber,fusion_absolute,248,32,21.081943077253648,26.42272686267155,18.871155709608388,0.9181043407789625,-16.711003301158737
TS0330D,huber,fusion_shape,248,32,47.98666037735353,52.43866482451951,46.805231720560585,0.677441223627179,-45.608316834527436
TS0330D,rf,temperature,248,32,19.402134713872577,21.114084992176778,19.817650959961327,0.9477062070314528,-19.402134713872577
TS0330D,rf,pressure_absolute,248,32,47.71981369025145,69.61516590089082,25.931175996599762,0.43152242540662167,10.533074464103564
TS0330D,rf,pressure_shape,248,32,49.707303400021445,59.72275754411174,43.391004429738956,0.5816061268419055,-18.667718933523055
TS0330D,rf,fusion_absolute,248,32,17.822924748342572,22.526819961975278,14.560301655807507,0.9404741797537539,-2.093804227996843
TS0330D,rf,fusion_shape,248,32,34.559874954731576,41.403147115974335,27.839440064336046,0.7989184057352476,-31.100738518352678
TS0330E,huber,temperature,241,39,43.914255516965554,46.22729678703449,42.36695274743886,0.8312923972444813,43.914255516965554
TS0330E,huber,pressure_absolute,241,39,48.78214583369309,59.58862539470935,41.966734775913096,0.7196733465975527,6.9349543148902155
TS0330E,huber,pressure_shape,241,39,96.12449800391877,111.6476676437854,80.68223746638319,0.01590512971338154,25.209254664010164
TS0330E,huber,fusion_absolute,241,39,41.406275980789005,44.518287723461135,36.26318616100491,0.8435359519608786,41.406275980789005
TS0330E,huber,fusion_shape,241,39,50.224486402720515,55.29682336509404,47.36787523836563,0.7585995783470728,49.83269457225918
TS0330E,rf,temperature,241,39,49.38286523447154,51.88119170221902,55.616273961785396,0.7875006800703368,49.38286523447154
TS0330E,rf,pressure_absolute,241,39,72.93730067133903,90.56348546254434,61.3992454028471,0.3524938237533304,-2.113806296289432
TS0330E,rf,pressure_shape,241,39,91.45240699503822,106.34821185125658,88.15681979427382,0.10710982916107203,27.62402046260314
TS0330E,rf,fusion_absolute,241,39,40.4298842172819,49.06388231141773,36.61343423151595,0.809952798884054,39.45301708928443
TS0330E,rf,fusion_shape,241,39,38.480670962360705,46.427907115829754,28.928542356766968,0.8298249558560962,38.480670962360705
