heldout,k_real_train_experiments,train_experiments,method,representation,n_real_train_windows,n_aug,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,6,TS0330B+TS0330C+TS0330D+TS0330E+TS0330F+TS0330G,real_only,fusion_absolute,209,0,41,11,0.9818181818181818,0.9471939676485132,0.7368421052631579,0.8015151515151515
TS0330A,6,TS0330B+TS0330C+TS0330D+TS0330E+TS0330F+TS0330G,classical_anchor_matched,temperature,209,1,41,11,1.0,1.0,0.8461538461538461,0.9333333333333332
TS0330A,6,TS0330B+TS0330C+TS0330D+TS0330E+TS0330F+TS0330G,classical_anchor_matched,fusion_absolute,209,1,41,11,0.9848484848484848,0.9585576040121496,0.7368421052631579,0.8015151515151515
TS0330A,6,TS0330B+TS0330C+TS0330D+TS0330E+TS0330F+TS0330G,racdiff,temperature,209,1,41,11,1.0,1.0,0.8461538461538461,0.9333333333333332
TS0330A,6,TS0330B+TS0330C+TS0330D+TS0330E+TS0330F+TS0330G,racdiff,fusion_absolute,209,1,41,11,0.9848484848484848,0.9585576040121496,0.8,0.8469696969696969
TS0330B,2,TS0330C+TS0330D,real_only,temperature,65,0,41,8,1.0,1.0,0.64,0.8636363636363636
TS0330B,2,TS0330C+TS0330D,real_only,fusion_absolute,65,0,41,8,0.8939393939393939,0.6601648351648352,0.0,0.5
TS0330B,2,TS0330C+TS0330D,classical_anchor_matched,temperature,65,65,41,8,1.0,1.0,0.7619047619047619,0.9242424242424244
TS0330B,2,TS0330C+TS0330D,classical_anchor_matched,fusion_absolute,65,65,41,8,1.0,1.0,0.0,0.5
TS0330B,2,TS0330C+TS0330D,racdiff,temperature,65,65,41,8,1.0,1.0,0.8,0.9393939393939394
TS0330B,2,TS0330C+TS0330D,racdiff,fusion_absolute,65,65,41,8,1.0,1.0,0.0,0.5
TS0330B,4,TS0330C+TS0330D+TS0330E+TS0330F,real_only,temperature,137,0,41,8,1.0,1.0,0.64,0.8636363636363636
TS0330B,4,TS0330C+TS0330D+TS0330E+TS0330F,real_only,fusion_absolute,137,0,41,8,1.0,1.0,0.0,0.5
TS0330B,4,TS0330C+TS0330D+TS0330E+TS0330F,classical_anchor_matched,temperature,137,0,41,8,1.0,1.0,0.64,0.8636363636363636
TS0330B,4,TS0330C+TS0330D+TS0330E+TS0330F,classical_anchor_matched,fusion_absolute,137,0,41,8,1.0,1.0,0.0,0.5
TS0330B,4,TS0330C+TS0330D+TS0330E+TS0330F,racdiff,temperature,137,0,41,8,1.0,1.0,0.64,0.8636363636363636
TS0330B,4,TS0330C+TS0330D+TS0330E+TS0330F,racdiff,fusion_absolute,137,0,41,8,1.0,1.0,0.0,0.5
TS0330B,6,TS0330C+TS0330D+TS0330E+TS0330F+TS0330G+TS0330H,real_only,temperature,201,0,41,8,1.0,1.0,0.6153846153846154,0.8484848484848485
TS0330B,6,TS0330C+TS0330D+TS0330E+TS0330F+TS0330G+TS0330H,real_only,fusion_absolute,201,0,41,8,1.0,1.0,0.7692307692307693,0.8125
TS0330B,6,TS0330C+TS0330D+TS0330E+TS0330F+TS0330G+TS0330H,classical_anchor_matched,temperature,201,8,41,8,1.0,1.0,0.6153846153846154,0.8484848484848485
TS0330B,6,TS0330C+TS0330D+TS0330E+TS0330F+TS0330G+TS0330H,classical_anchor_matched,fusion_absolute,201,8,41,8,1.0,1.0,0.6666666666666666,0.75
TS0330B,6,TS0330C+TS0330D+TS0330E+TS0330F+TS0330G+TS0330H,racdiff,temperature,201,8,41,8,1.0,1.0,0.6153846153846154,0.8484848484848485
TS0330B,6,TS0330C+TS0330D+TS0330E+TS0330F+TS0330G+TS0330H,racdiff,fusion_absolute,201,8,41,8,1.0,1.0,0.5454545454545454,0.6875
TS0330C,2,TS0330D+TS0330E,real_only,temperature,71,0,33,3,1.0,1.0,0.4,0.85
TS0330C,2,TS0330D+TS0330E,real_only,fusion_absolute,71,0,33,3,1.0,1.0,0.8571428571428571,0.9833333333333334
TS0330C,2,TS0330D+TS0330E,classical_anchor_matched,temperature,71,19,33,3,1.0,1.0,0.375,0.8333333333333333
TS0330C,2,TS0330D+TS0330E,classical_anchor_matched,fusion_absolute,71,19,33,3,1.0,1.0,0.8571428571428571,0.9833333333333334
TS0330C,2,TS0330D+TS0330E,racdiff,temperature,71,19,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,2,TS0330D+TS0330E,racdiff,fusion_absolute,71,19,33,3,1.0,1.0,0.8571428571428571,0.9833333333333334
TS0330C,4,TS0330D+TS0330E+TS0330F+TS0330G,real_only,temperature,135,0,33,3,1.0,1.0,0.375,0.8333333333333333
TS0330C,4,TS0330D+TS0330E+TS0330F+TS0330G,real_only,fusion_absolute,135,0,33,3,1.0,1.0,0.4615384615384615,0.8833333333333333
TS0330C,4,TS0330D+TS0330E+TS0330F+TS0330G,classical_anchor_matched,temperature,135,8,33,3,1.0,1.0,0.375,0.8333333333333333
TS0330C,4,TS0330D+TS0330E+TS0330F+TS0330G,classical_anchor_matched,fusion_absolute,135,8,33,3,1.0,1.0,0.4285714285714285,0.8666666666666667
TS0330C,4,TS0330D+TS0330E+TS0330F+TS0330G,racdiff,temperature,135,8,33,3,1.0,1.0,0.375,0.8333333333333333
TS0330C,4,TS0330D+TS0330E+TS0330F+TS0330G,racdiff,fusion_absolute,135,8,33,3,1.0,1.0,0.4615384615384615,0.8833333333333333
TS0330C,6,TS0330D+TS0330E+TS0330F+TS0330G+TS0330H+TS0330A,real_only,temperature,209,0,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,6,TS0330D+TS0330E+TS0330F+TS0330G+TS0330H+TS0330A,real_only,fusion_absolute,209,0,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,6,TS0330D+TS0330E+TS0330F+TS0330G+TS0330H+TS0330A,classical_anchor_matched,temperature,209,3,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,6,TS0330D+TS0330E+TS0330F+TS0330G+TS0330H+TS0330A,classical_anchor_matched,fusion_absolute,209,3,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,6,TS0330D+TS0330E+TS0330F+TS0330G+TS0330H+TS0330A,racdiff,temperature,209,3,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,6,TS0330D+TS0330E+TS0330F+TS0330G+TS0330H+TS0330A,racdiff,fusion_absolute,209,3,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330D,2,TS0330E+TS0330F,real_only,temperature,72,0,32,7,1.0,1.0,0.7,0.88
TS0330D,2,TS0330E+TS0330F,real_only,fusion_absolute,72,0,32,7,1.0,1.0,0.8235294117647058,0.94
TS0330D,2,TS0330E+TS0330F,classical_anchor_matched,temperature,72,33,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,2,TS0330E+TS0330F,classical_anchor_matched,fusion_absolute,72,33,32,7,1.0,1.0,0.8235294117647058,0.94
