source_pair,external,method,representation,n_source_real_windows,n_aug,n_external_windows,external_positive,auroc,auprc,f1,balanced_accuracy
TS0330D+TS0330E,NMC811,racdiff,fusion_absolute,71,12,99,5,0.648936170212766,0.0704225352112676,0.1020408163265306,0.5319148936170213
TS0330D+TS0330E,NMC111,racdiff,fusion_shape,71,12,989,5,0.9939024390243902,0.5327472527472528,0.0101522842639593,0.5045731707317073
TS0330D+TS0330E,NMC811,racdiff,fusion_shape,71,12,99,5,0.9765957446808512,0.5976190476190476,0.0961538461538461,0.5
TS0330E+TS0330F,NMC111,real_only,temperature,72,0,989,5,0.9973577235772356,0.5199999999999999,0.0100603621730382,0.5
TS0330E+TS0330F,NMC811,real_only,temperature,72,0,99,5,1.0,1.0,0.1923076923076923,0.7765957446808511
TS0330E+TS0330F,NMC111,real_only,pressure_absolute,72,0,989,5,0.8565040650406505,0.0200452118115407,0.0,0.4893292682926829
TS0330E+TS0330F,NMC811,real_only,pressure_absolute,72,0,99,5,0.925531914893617,0.2631578947368421,0.3846153846153846,0.9148936170212766
TS0330E+TS0330F,NMC111,real_only,pressure_shape,72,0,989,5,0.976829268292683,0.1134916734916735,0.0,0.5
TS0330E+TS0330F,NMC811,real_only,pressure_shape,72,0,99,5,0.9744680851063828,0.7109090909090909,0.1612903225806451,0.7234042553191489
TS0330E+TS0330F,NMC111,real_only,fusion_absolute,72,0,989,5,0.5248983739837398,0.0053191489361702,0.0100603621730382,0.5
TS0330E+TS0330F,NMC811,real_only,fusion_absolute,72,0,99,5,0.5,0.0505050505050505,0.0961538461538461,0.5
TS0330E+TS0330F,NMC111,real_only,fusion_shape,72,0,989,5,0.9910569105691056,0.4015384615384615,0.0154083204930662,0.6753048780487805
TS0330E+TS0330F,NMC811,real_only,fusion_shape,72,0,99,5,1.0,1.0,0.1492537313432835,0.6968085106382979
TS0330E+TS0330F,NMC111,classical_anchor_matched,temperature,72,10,989,5,0.9997967479674796,0.9666666666666666,0.0100603621730382,0.5
TS0330E+TS0330F,NMC811,classical_anchor_matched,temperature,72,10,99,5,1.0,1.0,0.2,0.7872340425531915
TS0330E+TS0330F,NMC111,classical_anchor_matched,pressure_absolute,72,10,989,5,0.4290650406504065,0.0050383536612383,0.0100603621730382,0.5
TS0330E+TS0330F,NMC811,classical_anchor_matched,pressure_absolute,72,10,99,5,0.8351063829787234,0.1388888888888889,0.0961538461538461,0.5
TS0330E+TS0330F,NMC111,classical_anchor_matched,pressure_shape,72,10,989,5,0.990040650406504,0.5168115942028986,0.0,0.5
TS0330E+TS0330F,NMC811,classical_anchor_matched,pressure_shape,72,10,99,5,0.9659574468085106,0.5255555555555556,0.1515151515151515,0.7021276595744681
TS0330E+TS0330F,NMC111,classical_anchor_matched,fusion_absolute,72,10,989,5,0.6803861788617886,0.0078864353312302,0.0100603621730382,0.5
TS0330E+TS0330F,NMC811,classical_anchor_matched,fusion_absolute,72,10,99,5,0.5,0.0505050505050505,0.0961538461538461,0.5
TS0330E+TS0330F,NMC111,classical_anchor_matched,fusion_shape,72,10,989,5,0.9961382113821138,0.7026315789473685,0.0112485939257592,0.5533536585365854
TS0330E+TS0330F,NMC811,classical_anchor_matched,fusion_shape,72,10,99,5,0.9893617021276596,0.71,0.1538461538461538,0.7074468085106382
TS0330E+TS0330F,NMC111,racdiff,temperature,72,10,989,5,1.0,1.0,0.0100603621730382,0.5
TS0330E+TS0330F,NMC811,racdiff,temperature,72,10,99,5,1.0,1.0,0.15625,0.7127659574468085
TS0330E+TS0330F,NMC111,racdiff,pressure_absolute,72,10,989,5,0.0288617886178861,0.0031104754984509,0.0,0.1976626016260162
TS0330E+TS0330F,NMC811,racdiff,pressure_absolute,72,10,99,5,0.0042553191489361,0.0307880283076993,0.0,0.1968085106382978
TS0330E+TS0330F,NMC111,racdiff,pressure_shape,72,10,989,5,0.9920731707317072,0.4487512487512488,0.0,0.5
TS0330E+TS0330F,NMC811,racdiff,pressure_shape,72,10,99,5,0.9297872340425531,0.3007034632034632,0.1515151515151515,0.7021276595744681
TS0330E+TS0330F,NMC111,racdiff,fusion_absolute,72,10,989,5,0.6844512195121951,0.0079872204472843,0.0101419878296146,0.5040650406504065
TS0330E+TS0330F,NMC811,racdiff,fusion_absolute,72,10,99,5,0.5585106382978724,0.0568181818181818,0.0970873786407767,0.5053191489361702
TS0330E+TS0330F,NMC111,racdiff,fusion_shape,72,10,989,5,0.9967479674796748,0.81,0.0112107623318385,0.551829268292683
TS0330E+TS0330F,NMC811,racdiff,fusion_shape,72,10,99,5,0.9872340425531916,0.6861904761904761,0.1298701298701298,0.6436170212765957
TS0330F+TS0330G,NMC111,real_only,temperature,64,0,989,5,0.9991869918699188,0.8761904761904762,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,real_only,temperature,64,0,99,5,0.9148936170212766,0.2631746031746031,0.0961538461538461,0.5
TS0330F+TS0330G,NMC111,real_only,pressure_absolute,64,0,989,5,0.8800813008130081,0.023798410299403,0.0,0.4872967479674797
