experiment,field,unit,value,source_row,source_col
TS0330E,NinetyPerSecVentStart_CellCaseT,,179.822052001953,7,27
TS0330E,max_cell_temperature,,592.453918457031,7,28
TS0330E,max_cell_temperature_sensor_name,,TK2,7,29
TS0330E,max vent gas temperature,,1496.82982560426,7,30
TS0330E,max gas temperature,,66.4979400634766,7,31
TS0330E,max over pressure,bar,0.384714742552999,7,32
TS0330E,first venting n,mol,0,7,33
TS0330E,second venting n,,0.315408437009977,7,34
TS0330E,temperature of produced not condensated gas,°C,33.1906277154401,7,37
TS0330E,max rate 50per pressure corrected,mol/s,0.630816874019955,7,39
TS0330E,max rate 90per pressure corrected,,0.567735186617959,7,40
TS0330E,min_time_50per_pressure,s,0.25,7,41
TS0330E,min_time_90per_pressure,,0.5,7,42
TS0330E,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),15.3919317260869,7,43
TS0330E,Max_Rate_90per_Pressure_Corrected_SATP,,13.8527385534782,7,44
TS0330E,post_thermal_runaway_amount_of_gas,mol,7.36447886887744,7,79
TS0330F,experiment designation,,TS0330F,8,0
TS0330F,cell_type_id,,BAK_N21700CG-50,8,5
TS0330F,soc,%,60,8,14
TS0330F,voltage_before_TR,V,3.82998888098996,8,20
TS0330F,CellVoltageDropFiftyPer_CellCaseT,°C,130.728271484375,8,21
TS0330F,FiveSecBefNinetyPerSecVentStart CellCaseT,,179.232666015625,8,22
TS0330F,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,182.768371582031,8,23
TS0330F,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,8,24
TS0330F,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,179.232666015625,8,25
TS0330F,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,8,26
TS0330F,NinetyPerSecVentStart_CellCaseT,,184.278533935547,8,27
TS0330F,max_cell_temperature,,598.435852050781,8,28
TS0330F,max_cell_temperature_sensor_name,,TK2,8,29
TS0330F,max vent gas temperature,,1465.90771484375,8,30
TS0330F,max gas temperature,,69.5444641113281,8,31
TS0330F,max over pressure,bar,0.377305815568007,8,32
TS0330F,first venting n,mol,0,8,33
TS0330F,second venting n,,0.307763081493975,8,34
TS0330F,temperature of produced not condensated gas,°C,34.8508131482251,8,37
TS0330F,max rate 50per pressure corrected,mol/s,0.591864584447125,8,39
TS0330F,max rate 90per pressure corrected,,0.543109045369582,8,40
TS0330F,min_time_50per_pressure,s,0.259994506835938,8,41
TS0330F,min_time_90per_pressure,,0.510002136230469,8,42
TS0330F,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),14.4414958605098,8,43
TS0330F,Max_Rate_90per_Pressure_Corrected_SATP,,13.2518607070178,8,44
TS0330F,post_thermal_runaway_amount_of_gas,mol,7.66741336684405,8,79
TS0330G,experiment designation,,TS0330G,9,0
TS0330G,cell_type_id,,BAK_N21700CG-50,9,5
TS0330G,soc,%,60,9,14
TS0330G,voltage_before_TR,V,3.8287960109206,9,20
TS0330G,CellVoltageDropFiftyPer_CellCaseT,°C,130.239517211914,9,21
TS0330G,FiveSecBefNinetyPerSecVentStart CellCaseT,,,9,22
TS0330G,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,0,9,23
TS0330G,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,none,9,24
TS0330G,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,0,9,25
TS0330G,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,none,9,26
TS0330G,NinetyPerSecVentStart_CellCaseT,,,9,27
TS0330G,max_cell_temperature,,146.881805419922,9,28
TS0330G,max_cell_temperature_sensor_name,,TK2,9,29
TS0330G,max vent gas temperature,,1277.21166992188,9,30
TS0330G,max gas temperature,,89.9508209228516,9,31
TS0330G,max over pressure,bar,0.371494684604857,9,32
TS0330G,first venting n,mol,0,9,33
TS0330G,second venting n,,0.28823540638273,9,34
TS0330G,temperature of produced not condensated gas,°C,37.1866021733484,9,37
TS0330G,max rate 50per pressure corrected,mol/s,0.655076834259209,9,39
TS0330G,max rate 90per pressure corrected,,0.489457477786282,9,40
TS0330G,min_time_50per_pressure,s,0.220001220703125,9,41
TS0330G,min_time_90per_pressure,,0.529998779296875,9,42
TS0330G,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),15.9838747559247,9,43
TS0330G,Max_Rate_90per_Pressure_Corrected_SATP,,11.9427624579853,9,44
TS0330G,post_thermal_runaway_amount_of_gas,mol,7.94251542262932,9,79
TS0330H,experiment designation,,TS0330H,10,0
TS0330H,cell_type_id,,BAK_N21700CG-50,10,5
TS0330H,soc,%,60,10,14
TS0330H,voltage_before_TR,V,3.83104191124439,10,20
TS0330H,CellVoltageDropFiftyPer_CellCaseT,°C,127.460014343262,10,21
TS0330H,FiveSecBefNinetyPerSecVentStart CellCaseT,,180.082122802734,10,22
TS0330H,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,183.089111328125,10,23
TS0330H,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,10,24
TS0330H,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,180.082122802734,10,25
TS0330H,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,10,26
TS0330H,NinetyPerSecVentStart_CellCaseT,,184.385192871094,10,27
TS0330H,max_cell_temperature,,632.451293945313,10,28
TS0330H,max_cell_temperature_sensor_name,,TK2,10,29
TS0330H,max vent gas temperature,,1290.08068847656,10,30
TS0330H,max gas temperature,,173.294067382813,10,31
TS0330H,max over pressure,bar,0.327106232423049,10,32
TS0330H,first venting n,mol,0,10,33
TS0330H,second venting n,,0.240487329662015,10,34
TS0330H,temperature of produced not condensated gas,°C,42.9522138133191,10,37
TS0330H,max rate 50per pressure corrected,mol/s,0.400808138872128,10,39
TS0330H,max rate 90per pressure corrected,,0.318291911118869,10,40
TS0330H,min_time_50per_pressure,s,0.300003051757813,10,41
TS0330H,min_time_90per_pressure,,0.680000305175781,10,42
