heldout,method,model,representation,pair_count,mae_s,rmse_s,medae_s,r2,bias_s,aug_mean
TS0330B,real_only,huber,fusion_shape,3,55.088409988244656,61.00261133013968,55.61020013772717,0.6486184283705394,-35.75889210002032,0.0
TS0330B,real_only,huber,pressure_absolute,3,559.0572481576447,578.9371737689722,537.734994264994,-50.40747497892388,408.08789313116677,0.0
TS0330B,real_only,huber,pressure_shape,3,124.19465040215708,144.93001351006214,122.75654719846862,-1.0239805761470864,-68.81809929540776,0.0
TS0330B,real_only,huber,temperature,3,64.76979541198854,67.04379040490981,65.86485078448631,0.5761777627675451,-44.50888433949397,0.0
TS0330B,real_only,rf,fusion_absolute,3,53.9374055913137,59.149335111069746,53.85133410769797,0.6676902982608927,-36.71304580143412,0.0
TS0330B,real_only,rf,fusion_shape,3,53.13616864887891,57.99646180152926,53.249825387505204,0.6591588241502292,-45.802226050445476,0.0
TS0330B,real_only,rf,pressure_absolute,3,121.49777017469376,148.12363793564774,98.6545457112987,-0.8587941090619765,-19.803985050619502,0.0
TS0330B,real_only,rf,pressure_shape,3,102.37083139045562,122.16457059003336,105.67447681271214,-0.31924604578854204,-65.68887073062827,0.0
TS0330B,real_only,rf,temperature,3,57.79435321601958,60.35397244562702,59.688931657810855,0.611664660227265,-53.03355288021123,0.0
TS0330C,classical_anchor_matched,huber,fusion_absolute,3,118.21676460014362,119.87157088548496,115.55536462845232,-1.4343246561125815,-95.38732636093327,39.666666666666664
TS0330C,classical_anchor_matched,huber,fusion_shape,3,83.99958152674309,87.23716835317089,84.88382485929073,0.15489271827554354,-81.51497573550841,39.666666666666664
TS0330C,classical_anchor_matched,huber,pressure_absolute,3,144.28901235760586,166.92915691503697,167.2918337026573,-2.2870322244313956,-32.37342584275561,39.666666666666664
TS0330C,classical_anchor_matched,huber,pressure_shape,3,101.33510875234025,114.93198041709347,96.79683489424467,-0.45983542341355976,-75.63714421923238,39.666666666666664
TS0330C,classical_anchor_matched,huber,temperature,3,74.17826569722546,75.12149713035502,74.40809483420175,0.3582825446362716,-74.17826569722546,39.666666666666664
TS0330C,classical_anchor_matched,rf,fusion_absolute,3,77.788470083607,78.85032207726489,80.19702329802469,0.26312363975545555,-77.788470083607,39.666666666666664
TS0330C,classical_anchor_matched,rf,fusion_shape,3,76.852348849521,78.17123169087905,76.4569836198866,0.2965907014477879,-76.852348849521,39.666666666666664
TS0330C,classical_anchor_matched,rf,pressure_absolute,3,86.47320397140652,107.88165504391549,66.17212225273182,-0.36597208816896715,-50.12895064977008,39.666666666666664
