heldout,train_experiments,method,model,representation,n_real_train_windows,n_aug,n_test_windows,mae_s,rmse_s,medae_s,r2,bias_s
TS0330A,TS0330F+TS0330G,racdiff,huber,pressure_shape,64,13,41,106.59628944847678,139.3771026735123,88.90597683824274,-0.3875696903722003,-54.45133530228404
TS0330A,TS0330F+TS0330G,racdiff,huber,fusion_absolute,64,13,41,261.4187710378924,262.01621520208147,265.1450710778785,-3.903749514022073,-261.4187710378924
TS0330A,TS0330F+TS0330G,racdiff,huber,fusion_shape,64,13,41,30.35595277026659,35.568177874814644,35.59198174830158,0.9096360566635204,-10.389261518003542
TS0330A,TS0330F+TS0330G,racdiff,rf,temperature,64,13,41,33.86887251930982,50.42242020040759,24.15708534278957,0.8183985487902669,-32.48303150161608
TS0330A,TS0330F+TS0330G,racdiff,rf,pressure_absolute,64,13,41,101.15241704476249,120.73017529436248,101.0600675337488,-0.0411267437798013,-8.561247008430463
TS0330A,TS0330F+TS0330G,racdiff,rf,pressure_shape,64,13,41,102.95736083843757,156.3668511026913,45.317280538904754,-0.7464707684872081,-85.86707942276666
TS0330A,TS0330F+TS0330G,racdiff,rf,fusion_absolute,64,13,41,34.13170838491659,50.95174015119388,25.297064217420317,0.814565737177925,-29.341397943664077
TS0330A,TS0330F+TS0330G,racdiff,rf,fusion_shape,64,13,41,34.36163107676339,51.77769420477695,25.02410214971769,0.8085050380356475,-31.669430965162213
TS0330B,TS0330C+TS0330D,real_only,huber,temperature,65,0,38,30.39136660874186,34.58059987209512,32.51498696973658,0.9005556805138556,30.39136660874186
TS0330B,TS0330C+TS0330D,real_only,huber,pressure_absolute,65,0,38,125.24233945356184,154.36480064798988,88.4468780329064,-0.9815794396043352,124.54827862236128
TS0330B,TS0330C+TS0330D,real_only,huber,pressure_shape,65,0,38,84.78415035015797,94.89548300934192,85.99804032304925,0.2511307189574373,12.518839973706244
TS0330B,TS0330C+TS0330D,real_only,huber,fusion_absolute,65,0,38,69.48162091801522,72.30821700643705,60.04796494293828,0.565199294461838,69.48162091801522
TS0330B,TS0330C+TS0330D,real_only,huber,fusion_shape,65,0,38,29.37723603443307,34.06066799804453,37.36959500633694,0.9035235628142052,28.611317630239963
TS0330B,TS0330C+TS0330D,real_only,rf,temperature,65,0,38,12.06055779939336,16.59859920700183,9.054719074759989,0.9770882737507802,2.221843208031671
TS0330B,TS0330C+TS0330D,real_only,rf,pressure_absolute,65,0,38,113.61099285688488,138.0847546230805,84.63131288472897,-0.585646596693914,105.76798009759578
TS0330B,TS0330C+TS0330D,real_only,rf,pressure_shape,65,0,38,67.37134159476703,85.93076017384824,49.28824610668326,0.3859379726073051,-15.142616613486965
TS0330B,TS0330C+TS0330D,real_only,rf,fusion_absolute,65,0,38,23.460019327357514,27.75680262117938,23.12721558747762,0.9359301349904432,20.567807093927925
TS0330B,TS0330C+TS0330D,real_only,rf,fusion_shape,65,0,38,13.047486571224002,20.05319139240908,6.393001046320478,0.9665587939057824,6.188044431143881
TS0330B,TS0330C+TS0330D,classical_anchor_matched,huber,temperature,65,18,38,21.30943548921477,27.58951734392364,25.344519800485728,0.9367000830071516,20.20046042086131
TS0330B,TS0330C+TS0330D,classical_anchor_matched,huber,pressure_absolute,65,18,38,136.0021652436266,173.45909436481938,98.0453462401344,-1.5021254706265332,133.88360890234608
TS0330B,TS0330C+TS0330D,classical_anchor_matched,huber,pressure_shape,65,18,38,113.11898701474578,130.83100070231131,96.31100195991252,-0.4234304800090871,-38.72295525310155
TS0330B,TS0330C+TS0330D,classical_anchor_matched,huber,fusion_absolute,65,18,38,66.21950527370227,70.31126452484752,54.439188745118685,0.5888836471022563,66.21950527370227
TS0330B,TS0330C+TS0330D,classical_anchor_matched,huber,fusion_shape,65,18,38,35.566934050853064,39.729191935905,44.21850090145844,0.8687393959615867,35.321609771681096
TS0330B,TS0330C+TS0330D,classical_anchor_matched,rf,temperature,65,18,38,11.979819266009288,18.922582651750087,6.383979110570948,0.9702233554699828,5.436879618817023
TS0330B,TS0330C+TS0330D,classical_anchor_matched,rf,pressure_absolute,65,18,38,140.90836355709888,166.03150960597944,133.87917948873826,-1.2924293915962846,137.96226055309543
TS0330B,TS0330C+TS0330D,classical_anchor_matched,rf,pressure_shape,65,18,38,84.54370899328649,104.01912396355225,87.45829361015402,0.1002096763805451,-32.186195744348744
TS0330B,TS0330C+TS0330D,classical_anchor_matched,rf,fusion_absolute,65,18,38,26.505166110630423,31.45233264165696,22.307612686449005,0.9177339481474212,25.368749185706125
TS0330B,TS0330C+TS0330D,classical_anchor_matched,rf,fusion_shape,65,18,38,14.377287875389076,22.26091091000258,8.524757720508944,0.958790172386867,10.839412790118717
TS0330B,TS0330C+TS0330D,racdiff,huber,temperature,65,18,38,15.02186589014054,21.32769936437545,11.774078970352916,0.9621729080386936,4.451686907422554
TS0330B,TS0330C+TS0330D,racdiff,huber,pressure_absolute,65,18,38,175.92841796626533,204.70586057564373,117.33012238109823,-2.48478097771873,175.92841796626533
TS0330B,TS0330C+TS0330D,racdiff,huber,pressure_shape,65,18,38,86.57021233175098,103.3454298074532,79.74572551139462,0.1118271644805007,-12.903864694839251
TS0330B,TS0330C+TS0330D,racdiff,huber,fusion_absolute,65,18,38,69.25181572819827,72.93933544946836,59.142478664691225,0.5575761415867349,69.25181572819827
TS0330B,TS0330C+TS0330D,racdiff,huber,fusion_shape,65,18,38,26.65179081019439,32.3242896848746,30.30467752319552,0.9131093762093132,24.41536395578108
TS0330B,TS0330C+TS0330D,racdiff,rf,temperature,65,18,38,10.382971364324932,14.280836341150875,7.45181261385386,0.983040141716043,-2.9124579207203984
TS0330B,TS0330C+TS0330D,racdiff,rf,pressure_absolute,65,18,38,117.07098922017524,140.2737019146026,97.61881831887962,-0.6363170347131872,112.298315032764
TS0330B,TS0330C+TS0330D,racdiff,rf,pressure_shape,65,18,38,66.52120026019921,84.16221406248195,55.55773397133828,0.4109539627792569,-16.33076484783355
TS0330B,TS0330C+TS0330D,racdiff,rf,fusion_absolute,65,18,38,19.7762927918747,27.89583819368806,15.219350945187074,0.9352866674537516,16.466688522754453
TS0330B,TS0330C+TS0330D,racdiff,rf,fusion_shape,65,18,38,14.743088043068804,22.413876900166304,8.25616997477485,0.958221879375384,5.396484729523252
TS0330B,TS0330E+TS0330F,real_only,huber,temperature,72,0,38,70.76376730610964,72.6926424333714,73.30791658829861,0.5605637834574746,-70.76376730610964
TS0330B,TS0330E+TS0330F,real_only,huber,pressure_absolute,72,0,38,226.10700212411663,253.34453006097004,227.53128843752845,-4.337501357725126,-226.10700212411663
TS0330B,TS0330E+TS0330F,real_only,huber,pressure_shape,72,0,38,196.9271540556894,225.8301390884012,197.4096947719969,-3.241102206799961,-152.10972781402683
