heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330B,TS0330C+TS0330D,classical_classmatched,fusion_shape,65,23,16,7,41,8,0.9848484848484848,0.9472222222222222,0.8235294117647058,0.9071969696969696
TS0330B,TS0330C+TS0330D,racdiff,temperature,65,23,16,7,41,8,1.0,1.0,0.7272727272727273,0.9090909090909092
TS0330B,TS0330C+TS0330D,racdiff,pressure_absolute,65,23,16,7,41,8,0.5795454545454546,0.2295878039444215,0.0,0.5
TS0330B,TS0330C+TS0330D,racdiff,pressure_shape,65,23,16,7,41,8,0.3522727272727272,0.1759254795342257,0.2352941176470588,0.5189393939393939
TS0330B,TS0330C+TS0330D,racdiff,fusion_absolute,65,23,16,7,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330C+TS0330D,racdiff,fusion_shape,65,23,16,7,41,8,0.9886363636363636,0.9526289682539684,0.8888888888888888,0.9696969696969696
TS0330B,TS0330E+TS0330F,real_only,temperature,72,0,0,0,41,8,1.0,1.0,0.5925925925925926,0.8333333333333333
TS0330B,TS0330E+TS0330F,real_only,pressure_absolute,72,0,0,0,41,8,0.75,0.350915404040404,0.4761904761904761,0.6912878787878788
TS0330B,TS0330E+TS0330F,real_only,pressure_shape,72,0,0,0,41,8,0.0833333333333333,0.1215873541752071,0.217391304347826,0.3125
TS0330B,TS0330E+TS0330F,real_only,fusion_absolute,72,0,0,0,41,8,1.0,1.0,0.6956521739130435,0.8939393939393939
TS0330B,TS0330E+TS0330F,real_only,fusion_shape,72,0,0,0,41,8,0.9015151515151516,0.6176303475935829,0.5,0.7575757575757576
TS0330B,TS0330E+TS0330F,classical_classmatched,temperature,72,38,14,24,41,8,1.0,1.0,0.5925925925925926,0.8333333333333333
TS0330B,TS0330E+TS0330F,classical_classmatched,pressure_absolute,72,38,14,24,41,8,0.1136363636363636,0.1253146664456946,0.3265306122448979,0.5
TS0330B,TS0330E+TS0330F,classical_classmatched,pressure_shape,72,38,14,24,41,8,0.0606060606060605,0.119851878286287,0.0952380952380952,0.1401515151515151
TS0330B,TS0330E+TS0330F,classical_classmatched,fusion_absolute,72,38,14,24,41,8,1.0,1.0,0.9411764705882352,0.9848484848484848
TS0330B,TS0330E+TS0330F,classical_classmatched,fusion_shape,72,38,14,24,41,8,0.9356060606060606,0.7264204545454545,0.5161290322580645,0.7727272727272727
TS0330B,TS0330E+TS0330F,racdiff,temperature,72,38,14,24,41,8,1.0,1.0,0.5925925925925926,0.8333333333333333
TS0330B,TS0330E+TS0330F,racdiff,pressure_absolute,72,38,14,24,41,8,0.268939393939394,0.1484300537425537,0.0,0.5
TS0330B,TS0330E+TS0330F,racdiff,pressure_shape,72,38,14,24,41,8,0.0909090909090909,0.1221871580596473,0.1395348837209302,0.2026515151515151
TS0330B,TS0330E+TS0330F,racdiff,fusion_absolute,72,38,14,24,41,8,1.0,1.0,0.6153846153846154,0.8484848484848485
TS0330B,TS0330E+TS0330F,racdiff,fusion_shape,72,38,14,24,41,8,0.9128787878787878,0.6222537878787879,0.5161290322580645,0.7727272727272727
TS0330B,TS0330G+TS0330H,real_only,temperature,64,0,0,0,41,8,1.0,1.0,0.5517241379310345,0.803030303030303
TS0330B,TS0330G+TS0330H,real_only,pressure_absolute,64,0,0,0,41,8,0.553030303030303,0.2175035612535612,0.3265306122448979,0.5
TS0330B,TS0330G+TS0330H,real_only,pressure_shape,64,0,0,0,41,8,0.4848484848484848,0.1977306984893996,0.25,0.490530303030303
TS0330B,TS0330G+TS0330H,real_only,fusion_absolute,64,0,0,0,41,8,0.9696969696969696,0.8860479797979799,0.0,0.5
TS0330B,TS0330G+TS0330H,real_only,fusion_shape,64,0,0,0,41,8,0.9848484848484848,0.9317956349206348,0.6666666666666666,0.8787878787878788
TS0330B,TS0330G+TS0330H,classical_classmatched,temperature,64,64,33,31,41,8,1.0,1.0,0.5517241379310345,0.803030303030303
TS0330B,TS0330G+TS0330H,classical_classmatched,pressure_absolute,64,64,33,31,41,8,0.3977272727272727,0.1747271649263088,0.3265306122448979,0.5
TS0330B,TS0330G+TS0330H,classical_classmatched,pressure_shape,64,64,33,31,41,8,0.3522727272727272,0.1612823638685707,0.0869565217391304,0.3503787878787879
TS0330B,TS0330G+TS0330H,classical_classmatched,fusion_absolute,64,64,33,31,41,8,0.9772727272727272,0.9202741702741704,0.0,0.5
TS0330B,TS0330G+TS0330H,classical_classmatched,fusion_shape,64,64,33,31,41,8,0.9848484848484848,0.9415178571428572,0.7272727272727273,0.9090909090909092
TS0330B,TS0330G+TS0330H,racdiff,temperature,64,64,33,31,41,8,1.0,1.0,0.5714285714285714,0.8181818181818181
TS0330B,TS0330G+TS0330H,racdiff,pressure_absolute,64,64,33,31,41,8,0.3901515151515151,0.1730781617555664,0.3265306122448979,0.5
TS0330B,TS0330G+TS0330H,racdiff,pressure_shape,64,64,33,31,41,8,0.2196969696969697,0.1456661617300809,0.0833333333333333,0.3352272727272727
TS0330B,TS0330G+TS0330H,racdiff,fusion_absolute,64,64,33,31,41,8,0.9659090909090908,0.8711670274170275,0.0,0.5
TS0330B,TS0330G+TS0330H,racdiff,fusion_shape,64,64,33,31,41,8,1.0,1.0,0.7619047619047619,0.9242424242424244
TS0330C,TS0330D+TS0330E,real_only,temperature,71,0,0,0,33,3,1.0,1.0,0.4,0.85
TS0330C,TS0330D+TS0330E,real_only,pressure_absolute,71,0,0,0,33,3,0.8888888888888888,0.4333333333333333,0.4285714285714285,0.8666666666666667
TS0330C,TS0330D+TS0330E,real_only,pressure_shape,71,0,0,0,33,3,0.6333333333333333,0.1568376068376068,0.25,0.7
